force,dt,predicted_u_mean,model,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
0.1,500.0,,seed,ok,,281,2.2496729847043753,0.0001636059180410084,0.0007319425487823858,0.0001553929009553498,1.0,1,281
0.2,250.0,0.0003272118360820168,linear-scale,ok,,16,0.13961022533476353,0.0003263104815847201,0.0014548633301097711,0.0003099296954091671,1.0,1,16
0.5,100.0,0.0008091614278420322,"quadratic(a=609.527,b=10376.9)",ok,,21,0.17528646439313889,0.0008122450857365066,0.003582972868802723,0.000771470382432534,1.0,1,21
1,50.0,0.0016121583787510098,"quadratic(a=610.811,b=5877.21)",ok,,26,0.21423302963376045,0.0016193237488586034,0.006950408590125786,0.0015380336966659015,1.0,1,26
2,25.0,0.003214017311023239,"quadratic(a=612.813,b=2943.79)",ok,,26,0.21393564902245998,0.0032287488035603433,0.01343218274834355,0.003066665613621614,1.0,1,26
5,10.0,0.007982609040358924,"quadratic(a=614.799,b=1448.47)",ok,,26,1.1016276516020298,0.007955091146023436,0.026837548035692257,0.007555745570493059,7.8076923076923075,20,203
10,5.0,0.015559807519890211,"quadratic(a=613.7,b=1862.6)",ok,,31,1.5068478770554066,0.015767373213603997,0.04140817745380409,0.014975851078281076,9.064516129032258,20,281
20,2.5,0.030855473667218997,"quadratic(a=619.909,b=916.339)",ok,,26,1.5470089875161648,0.0314034862653187,0.07281866105533594,0.0298270312547997,11.23076923076923,20,292
50,1.0,0.07690291253831355,"quadratic(a=627.986,b=288.476)",ok,,21,1.9734785109758377,0.07828636193555313,0.1854070881602549,0.07435638656638836,18.095238095238095,20,380
100,0.5,0.1553750769277755,"quadratic(a=633.799,b=63.1029)",ok,,16,1.4596462287008762,0.15629757597556462,0.4071416274249347,0.14845143766159127,17.4375,20,279
200,0.25,0.3109437155675372,"quadratic(a=636.486,b=21.6041)",ok,,16,1.405446469783783,0.31181688496389204,0.9456866541898458,0.29616367733870463,16.8125,20,269
500,0.1,0.7729205638031403,"quadratic(a=637.73,b=11.8599)",ok,,16,1.6601653080433607,0.7741448880174245,2.9151558318224384,0.7352828146389498,20.0,20,320
1000,0.05,1.5305913438824597,"quadratic(a=638.241,b=9.86605)",ok,,16,1.6609649322926998,1.5294204146913406,4.9997237896747775,1.4526435098738353,20.0,20,320
2000,0.025,2.9892541371862826,"quadratic(a=637.88,b=10.4319)",ok,,21,2.1748381927609444,2.978766366803195,-4.997686110814052,2.8292322951896747,20.0,20,420
5000,0.01,6.95924930811666,"quadratic(a=636.139,b=11.8302)",ok,,21,2.175030315294862,6.872288400178733,-157.0705802890979,6.52729952248976,20.0,20,420
10000,0.005,12.4136664923278,"quadratic(a=630.656,b=14.0899)",ok,,21,2.1736569739878178,12.268352108527642,-628.0654919597265,11.652480832679554,20.0,20,420
20000,0.0025,21.00053795521171,"quadratic(a=621.491,b=15.7551)",ok,,26,2.690758543089032,20.77116396610039,-1818.1825920502113,19.728451535002147,20.0,20,520
50000,0.001,39.20510980347559,"quadratic(a=609.697,b=16.9786)",ok,,26,2.6928173154592514,38.71617265189539,-5978.526761685897,36.77262078477024,20.0,20,520
100000,0.0005,59.82284988216336,"quadratic(a=592.561,b=18.0373)",ok,,26,2.6960793305188417,59.45381818809976,-13392.86537634133,56.46923651505715,20.0,20,520
150000,0.0003333333333333333,75.68527931308296,"quadratic(a=577.932,b=18.55)",ok,,26,2.689474120736122,75.47986544285214,-20930.949433122307,71.69077619762096,20.0,20,520
200000,0.00025,89.18001508682742,"quadratic(a=568.984,b=18.7673)",ok,,26,2.690664190798998,89.0212732179639,-28545.195233057904,84.5524053024221,20.0,20,520
225000,0.00022222222222222223,95.24602052808952,"quadratic(a=562.018,b=18.9014)",ok,,16,1.65962777659297,95.1645025765252,-32383.851408315975,90.38724454718363,20.0,20,320
250000,0.0002,101.04585091422379,"quadratic(a=559.065,b=18.9524)",ok,,16,1.66102490760386,100.97117462382735,-36219.94589368993,95.90242165771122,20.0,20,320
300000,0.00016666666666666666,111.88204711065205,"quadratic(a=556.504,b=18.9922)",ok,,16,1.6639793422073126,111.78440507841928,-43925.36741242356,106.17282794348263,20.0,20,320
500000,0.0001,148.16647677550841,"quadratic(a=552.538,b=19.0464)",ok,,31,3.2046759594231844,147.8751609775591,-75842.7951786915,140.4518278964856,20.0,20,620
750000,6.666666666666667e-05,184.08701130859566,"quadratic(a=539.179,b=19.2028)",ok,,26,2.6923795752227306,183.93650783652757,-117000.92409538638,174.70289514313387,20.0,20,520
1000000,5e-05,214.43579859450588,"quadratic(a=533.875,b=19.2576)",ok,,16,1.6590296756476164,214.46486619903263,-159084.62777685068,203.6987299158412,20.0,20,320
1500000,3.3333333333333335e-05,265.6017614297287,"quadratic(a=534.712,b=19.25)",ok,,16,1.658187959343195,265.66236737181146,-244364.70564625843,252.3261165297465,20.0,20,320
2000000,2.5e-05,308.79696854897315,"quadratic(a=536.449,b=19.2369)",ok,,16,1.66004410199821,308.66800902404833,-330817.1120059476,293.1728749710411,20.0,20,320
3000000,1.6666666666666667e-05,381.0863733464166,"quadratic(a=533.15,b=19.2583)",ok,,16,1.65921263769269,381.1474821189011,-507716.70092652726,362.01387851653226,20.0,20,320
5000000,1e-05,495.95143566233344,"quadratic(a=534.803,b=19.2495)",ok,,16,1.6590623147785664,496.18037558121847,-861733.5779971724,471.2721207270413,20.0,20,320
7500000,6.666666666666667e-06,610.7130575991749,"quadratic(a=540.991,b=19.223)",ok,,16,1.6580886952579021,610.6489677413607,-1305248.1444710367,579.9943895607444,20.0,20,320
10000000,5e-06,707.2616886328962,"quadratic(a=539.394,b=19.2286)",ok,,16,1.6592218950390816,706.9557732865404,-1749772.827842574,671.4665934675561,20.0,20,320
15000000,3.3333333333333333e-06,869.0324777749677,"quadratic(a=532.32,b=19.2493)",ok,,16,1.658477446064353,869.0321336746711,-2643843.381919149,825.4067205642026,20.0,20,320
20000000,2.5e-06,1005.5797492315187,"quadratic(a=532.311,b=19.2493)",ok,,16,1.6589060425758362,1005.4078298165921,-3530702.8304209127,954.9363567597991,20.0,20,320
25000000,2e-06,1125.750443637266,"quadratic(a=528.098,b=19.2577)",ok,,16,1.6573777981102467,1125.4645518837326,-4413658.3160111215,1068.9662313791691,20.0,20,320
