phi,resolution,k_sim,k_ref,error_pct,p_profile,u_profile
0.5235987755982988,16,19.754185466476347,39.5,-49.989403882338365,"[ 0.00767421  0.0528604   0.07694669  0.08166076  0.06956171  0.0551766
  0.01775836 -0.01074967 -0.03278431 -0.06129234 -0.09871058 -0.11309569
 -0.12519474 -0.12048067 -0.09639438 -0.05120819]","[0.00252978 0.00253007 0.00253406 0.00254278 0.00255754 0.0025724
 0.00258618 0.00258367 0.00259822 0.00258367 0.00258618 0.0025724
 0.00255754 0.00254278 0.00253406 0.00253007]"
0.5235987755982988,32,19.973403351108576,39.5,-49.434421895927656,"[ 0.00428641  0.03169696  0.052975    0.06823144  0.07981783  0.08313932
  0.08499101  0.08223528  0.07665153  0.07034944  0.06274263  0.05073
  0.03983771  0.02034164  0.00867851 -0.00488911 -0.0166943  -0.03026193
 -0.04192505 -0.06142112 -0.07231341 -0.08432604 -0.09193285 -0.09823494
 -0.1038187  -0.10657442 -0.10472273 -0.10140124 -0.08981485 -0.07455841
 -0.05328037 -0.02586983]","[0.00252264 0.00252265 0.00252265 0.00252275 0.002523   0.00252416
 0.00252576 0.00252741 0.00252922 0.00253064 0.00253183 0.00253537
 0.00253704 0.00253724 0.00254295 0.00254501 0.00254605 0.00254501
 0.00254295 0.00253724 0.00253704 0.00253537 0.00253183 0.00253064
 0.00252922 0.00252741 0.00252576 0.00252416 0.002523   0.00252275
 0.00252265 0.00252265]"
0.5235987755982988,64,20.043410807586437,39.5,-49.2571878288951,"[ 0.00226094  0.01686375  0.02994383  0.04162645  0.05219963  0.06084453
  0.06839639  0.0740492   0.07979668  0.08232623  0.08488483  0.08553304
  0.08588607  0.0854513   0.08470954  0.08185547  0.08068305  0.076825
  0.07279419  0.06818681  0.06476262  0.05835388  0.05341137  0.04820176
  0.04217363  0.03559256  0.03033226  0.02186711  0.01579994  0.00945635
  0.00364541 -0.00243177 -0.0083356  -0.01441278 -0.02022372 -0.02656731
 -0.03263448 -0.04109963 -0.04635993 -0.052941   -0.05896913 -0.06417874
 -0.06912126 -0.07552999 -0.07895418 -0.08356157 -0.08759238 -0.09145043
 -0.09262285 -0.09547691 -0.09621867 -0.09665344 -0.09630041 -0.09565221
 -0.09309361 -0.09056406 -0.08481657 -0.07916377 -0.07161191 -0.062967
 -0.05239383 -0.0407112  -0.02763112 -0.01302832]","[0.00252001 0.00252001 0.00252001 0.00252001 0.00252001 0.00252001
 0.00252002 0.00252005 0.00252007 0.00252022 0.00252029 0.00252038
 0.00252057 0.0025208  0.00252107 0.00252116 0.00252128 0.0025216
 0.00252219 0.0025223  0.00252249 0.00252297 0.00252272 0.00252339
 0.00252397 0.00252347 0.00252458 0.00252498 0.00252471 0.00252435
 0.00252447 0.00252469 0.0025248  0.00252469 0.00252447 0.00252435
 0.00252471 0.00252498 0.00252458 0.00252347 0.00252397 0.00252339
 0.00252272 0.00252297 0.00252249 0.0025223  0.00252219 0.0025216
 0.00252128 0.00252116 0.00252107 0.0025208  0.00252057 0.00252038
 0.00252029 0.00252022 0.00252007 0.00252005 0.00252002 0.00252001
 0.00252001 0.00252001 0.00252001 0.00252001]"
0.5235987755982988,128,20.056587364722855,39.5,-49.22382945639784,"[ 0.00117502  0.00874815  0.01590165  0.02269115  0.02912193  0.03521157
  0.04100265  0.04637076  0.0514993   0.05610951  0.0605125   0.06454651
  0.06834459  0.0715364   0.07434814  0.07696237  0.07947511  0.08128437
  0.08347697  0.08437111  0.08571863  0.08629409  0.08677167  0.08699277
  0.08711007  0.0869713   0.08698746  0.08631501  0.08568686  0.08491593
  0.08355147  0.0823775   0.0809693   0.07939182  0.07807896  0.07597393
  0.0740635   0.0720654   0.06995124  0.0675355   0.0653478   0.06328915
  0.06026995  0.0576728   0.05552105  0.05221557  0.04953499  0.04716611
  0.04392757  0.04111784  0.03803109  0.03548552  0.0325696   0.02920034
  0.02613404  0.02317932  0.02023929  0.01677883  0.01344585  0.01046743
  0.00743251  0.00455675  0.00165455 -0.00123703 -0.00414341 -0.00703498
 -0.00993719 -0.01281295 -0.01584787 -0.01882628 -0.02215927 -0.02561973
 -0.02855975 -0.03151448 -0.03458078 -0.03795003 -0.04086596 -0.04341153
 -0.04649828 -0.04930801 -0.05254654 -0.05491543 -0.05759601 -0.06090149
 -0.06305324 -0.06565039 -0.06866959 -0.07072823 -0.07291594 -0.07533168
 -0.07744583 -0.07944394 -0.08135437 -0.08345939 -0.08477226 -0.08634974
 -0.08775794 -0.08893191 -0.09029637 -0.0910673  -0.09169544 -0.0923679
 -0.09235174 -0.09249051 -0.09237321 -0.09215211 -0.09167453 -0.09109907
 -0.08975155 -0.08885741 -0.08666481 -0.08485555 -0.08234281 -0.07972858
 -0.07691684 -0.07372502 -0.06992695 -0.06589294 -0.06148995 -0.05687974
 -0.0517512  -0.04638309 -0.04059201 -0.03450236 -0.02807159 -0.02128208
 -0.01412859 -0.00655546]","[0.00251976 0.00251976 0.00251976 0.00251976 0.00251976 0.00251976
 0.00251976 0.00251976 0.00251976 0.00251976 0.00251976 0.00251977
 0.00251977 0.00251977 0.00251977 0.00251978 0.00251978 0.0025198
 0.0025198  0.00251982 0.00251984 0.00251984 0.00251987 0.0025199
 0.00251992 0.00251995 0.00251997 0.00251999 0.00252002 0.00252005
 0.00252009 0.00252011 0.00252012 0.00252011 0.00252018 0.00252025
 0.00252025 0.00252022 0.00252036 0.00252034 0.0025204  0.00252045
 0.00252042 0.00252054 0.00252049 0.0025206  0.00252066 0.0025206
 0.00252076 0.00252067 0.00252075 0.00252087 0.00252085 0.00252077
 0.00252094 0.00252102 0.00252101 0.00252093 0.0025209  0.00252095
 0.00252103 0.00252107 0.00252109 0.00252112 0.00252113 0.00252112
 0.00252109 0.00252107 0.00252103 0.00252095 0.0025209  0.00252093
 0.00252101 0.00252102 0.00252094 0.00252077 0.00252085 0.00252087
 0.00252075 0.00252067 0.00252076 0.0025206  0.00252066 0.0025206
 0.00252049 0.00252054 0.00252042 0.00252045 0.0025204  0.00252034
 0.00252036 0.00252022 0.00252025 0.00252025 0.00252018 0.00252011
 0.00252012 0.00252011 0.00252009 0.00252005 0.00252002 0.00251999
 0.00251997 0.00251995 0.00251992 0.0025199  0.00251987 0.00251984
 0.00251984 0.00251982 0.0025198  0.0025198  0.00251978 0.00251978
 0.00251977 0.00251977 0.00251977 0.00251977 0.00251976 0.00251976
 0.00251976 0.00251976 0.00251976 0.00251976 0.00251976 0.00251976
 0.00251976 0.00251976]"
